
Origin,Destination
ABQ,BWI
ABQ,DAL
ABQ,DEN
ABQ,HOU
ABQ,LAS
ABQ,LAX
ABQ,MCI
ABQ,MDW
ABQ,OAK
ABQ,PDX
ABQ,PHX
ABQ,SAN
ABQ,SEA
ALB,BWI
ALB,FLL
ALB,LAS
ALB,MCO
ALB,MDW
ALB,TPA
AMA,DAL
AMA,DEN
AMA,LAS
ATL,AUA
ATL,AUS
ATL,BDL
ATL,BOS
ATL,BWI
ATL,CAK
ATL,CHS
ATL,CMH
ATL,CUN
ATL,DAY
ATL,DCA
ATL,DEN
ATL,DTW
ATL,FLL
ATL,HOU
ATL,IND
ATL,JAX
ATL,LAS
ATL,LAX
ATL,LGA
ATL,MBJ
ATL,MCI
ATL,MCO
ATL,MDW
ATL,MKE
ATL,MSP
ATL,MSY
ATL,NAS
ATL,OKC
ATL,ORF
ATL,PBI
ATL,PHL
ATL,PHX
ATL,PIT
ATL,PUJ
ATL,RDU
ATL,RIC
ATL,RSW
ATL,SAN
ATL,SAT
ATL,SDF
ATL,SFO
ATL,SJU
ATL,STL
ATL,TPA
AUA,ATL
AUA,MCO
AUS,ATL
AUS,BNA
AUS,BWI
AUS,DAL
AUS,DCA
AUS,DEN
AUS,ELP
AUS,EWR
AUS,FLL
AUS,HOU
AUS,HRL
AUS,LAS
AUS,LAX
AUS,LBB
AUS,MCO
AUS,MDW
AUS,MSY
AUS,OAK
AUS,PHX
AUS,SAN
AUS,SJC
AUS,TPA
BDL,ATL
BDL,BWI
BDL,DEN
BDL,FLL
BDL,LAS
BDL,MCO
BDL,MDW
BDL,RSW
BDL,TPA
BHM,BWI
BHM,DAL
BHM,HOU
BHM,LAS
BHM,MCO
BHM,MDW
BHM,TPA
BKG,DAL
BKG,HOU
BKG,MDW
BNA,AUS
BNA,BOS
BNA,BWI
BNA,CHS
BNA,CLE
BNA,CMH
BNA,DEN
BNA,DTW
BNA,ECP
BNA,EWR
BNA,FLL
BNA,GSP
BNA,HOU
BNA,JAX
BNA,LAS
BNA,LAX
BNA,LGA
BNA,MCI
BNA,MCO
BNA,MDW
BNA,MSY
BNA,PHL
BNA,PHX
BNA,PIT
BNA,PNS
BNA,RDU
BNA,SAN
BNA,SAT
BNA,STL
BNA,TPA
BOI,DEN
BOI,GEG
BOI,LAS
BOI,OAK
BOI,PHX
BOS,ATL
BOS,BNA
BOS,BWI
BOS,CAK
BOS,DEN
BOS,HOU
BOS,MCI
BOS,MCO
BOS,MDW
BOS,MKE
BOS,STL
BUF,BWI
BUF,FLL
BUF,LAS
BUF,MCO
BUF,MDW
BUF,PHX
BUF,TPA
BUR,DEN
BUR,LAS
BUR,OAK
BUR,PHX
BUR,SJC
BUR,SMF
BWI,ABQ
BWI,ALB
BWI,ATL
BWI,AUS
BWI,BDL
BWI,BHM
BWI,BNA
BWI,BOS
BWI,BUF
BWI,CHS
BWI,CLE
BWI,CLT
BWI,CMH
BWI,DAY
BWI,DEN
BWI,DTW
BWI,ECP
BWI,FLL
BWI,FNT
BWI,GRR
BWI,GSP
BWI,HOU
BWI,IND
BWI,ISP
BWI,JAX
BWI,LAS
BWI,LAX
BWI,LIT
BWI,MCI
BWI,MCO
BWI,MDW
BWI,MEM
BWI,MHT
BWI,MKE
BWI,MSY
BWI,OKC
BWI,ORF
BWI,PBI
BWI,PHX
BWI,PIT
BWI,PUJ
BWI,PVD
BWI,PWM
BWI,RDU
BWI,ROC
BWI,RSW
BWI,SAN
BWI,SAT
BWI,SDF
BWI,SEA
BWI,SJU
BWI,SLC
BWI,STL
BWI,TPA
BZE,HOU
BZN,DEN
CAK,ATL
CAK,BOS
CAK,DEN
CAK,LGA
CAK,MCO
CAK,TPA
CHS,BNA
CHS,BWI
CHS,HOU
CHS,MDW
CLE,BNA
CLE,BWI
CLE,LAS
CLE,MDW
CLT,BWI
CLT,HOU
CLT,MCO
CLT,MDW
CMH,ATL
CMH,BNA
CMH,BWI
CMH,DEN
CMH,FLL
CMH,LAS
CMH,MCO
CMH,MDW
CMH,PHX
CMH,RSW
CMH,STL
CMH,TPA
CRP,HOU
CUN,ATL
CUN,HOU
CUN,MCI
DAL,ABQ
DAL,AMA
DAL,AUS
DAL,BHM
DAL,BKG
DAL,BWI
DAL,ELP
DAL,HOU
DAL,HRL
DAL,ICT
DAL,LBB
DAL,LIT
DAL,MAF
DAL,MCI
DAL,MSY
DAL,OKC
DAL,SAT
DAL,STL
DAL,TUL
DAY,ATL
DAY,BWI
DAY,DEN
DAY,MCO
DAY,TPA
DCA,ATL
DCA,AUS
DCA,HOU
DCA,MCI
DCA,MCO
DCA,MKE
DCA,RSW
DCA,STL
DEN,ABQ
DEN,AMA
DEN,ATL
DEN,AUS
DEN,BDL
DEN,BNA
DEN,BOI
DEN,BOS
DEN,BUR
DEN,BWI
DEN,CAK
DEN,CMH
DEN,CUN
DEN,DAY
DEN,DTW
DEN,EWR
DEN,FLL
DEN,GEG
DEN,GRR
DEN,HOU
DEN,IAD
DEN,IND
DEN,JAX
DEN,LAS
DEN,LAX
DEN,LGA
DEN,MCI
DEN,MCO
DEN,MDW
DEN,MKE
DEN,MSP
DEN,MSY
DEN,OAK
DEN,OKC
DEN,OMA
DEN,ONT
DEN,PDX
DEN,PHL
DEN,PHX
DEN,PIT
DEN,RDU
DEN,RNO
DEN,SAN
DEN,SAT
DEN,SDF
DEN,SEA
DEN,SFO
DEN,SJC
DEN,SLC
DEN,SMF
DEN,SNA
DEN,STL
DEN,TPA
DEN,TUL
DEN,TUS
DFW,RSW
DSM,LAS
DSM,MDW
DTW,ATL
DTW,BNA
DTW,BWI
DTW,DEN
DTW,LAS
DTW,MDW
DTW,PHX
DTW,STL
ECP,BNA
ECP,BWI
ECP,HOU
ECP,STL
ELP,AUS
ELP,DAL
ELP,HOU
ELP,LAS
ELP,LAX
ELP,PHX
ELP,SAT
EWR,AUS
EWR,BNA
EWR,DEN
EWR,HOU
EWR,MDW
EWR,MSY
EWR,PHX
EWR,STL
EYW,MCO
EYW,MSY
EYW,TPA
FLL,ALB
FLL,ATL
FLL,AUS
FLL,BDL
FLL,BNA
FLL,BUF
FLL,BWI
FLL,CMH
FLL,DEN
FLL,HOU
FLL,IND
FLL,ISP
FLL,JAX
FLL,LAS
FLL,MCI
FLL,MDW
FLL,MKE
FLL,MSY
FLL,PHL
FLL,PHX
FLL,PIT
FLL,PVD
FLL,RDU
FLL,SJU
FLL,STL
FLL,TPA
FNT,BWI
FNT,LAS
FNT,MCO
FNT,TPA
GCM,MCO
GEG,BOI
GEG,DEN
GEG,LAS
GEG,OAK
GEG,PHX
GRR,BWI
GRR,DEN
GRR,MCO
GRR,STL
GRR,TPA
GSP,BNA
GSP,BWI
GSP,HOU
GSP,MDW
HNL,ITO
HNL,KOA
HNL,LAS
HNL,LAX
HNL,LIH
HNL,OGG
HNL,PHX
HNL,SAN
HNL,SJC
HNL,SMF
HOU,ABQ
HOU,ATL
HOU,AUS
HOU,BHM
HOU,BKG
HOU,BNA
HOU,BOS
HOU,BWI
HOU,BZE
HOU,CHS
HOU,CLT
HOU,CRP
HOU,DAL
HOU,DCA
HOU,DEN
HOU,ECP
HOU,ELP
HOU,EWR
HOU,FLL
HOU,GSP
HOU,HRL
HOU,IND
HOU,JAN
HOU,JAX
HOU,LAS
HOU,LAX
HOU,LGA
HOU,LIT
HOU,MAF
HOU,MCI
HOU,MCO
HOU,MDW
HOU,MEM
HOU,MSY
HOU,OAK
HOU,OKC
HOU,PHX
HOU,PIT
HOU,PNS
HOU,PVR
HOU,RDU
HOU,SAN
HOU,SAT
HOU,SJO
HOU,SNA
HOU,STL
HOU,TPA
HOU,TUL
HRL,AUS
HRL,DAL
HRL,HOU
HRL,SAT
IAD,DEN
IAD,MDW
ICT,DAL
ICT,LAS
ICT,MDW
IND,ATL
IND,BWI
IND,DEN
IND,FLL
IND,HOU
IND,LAS
IND,MCI
IND,MCO
IND,PHX
IND,RSW
IND,TPA
ISP,BWI
ISP,FLL
ISP,MCO
ISP,PBI
ISP,TPA
ITO,HNL
JAN,HOU
JAN,MCO
JAN,MDW
JAX,ATL
JAX,BNA
JAX,BWI
JAX,DEN
JAX,FLL
JAX,HOU
JAX,LAS
JAX,MDW
KOA,HNL
KOA,LAS
KOA,OGG
KOA,SMF
LAS,ABQ
LAS,ALB
LAS,AMA
LAS,ATL
LAS,AUS
LAS,BDL
LAS,BHM
LAS,BNA
LAS,BOI
LAS,BUF
LAS,BUR
LAS,BWI
LAS,CLE
LAS,CMH
LAS,DEN
LAS,DSM
LAS,DTW
LAS,ELP
LAS,FLL
LAS,FNT
LAS,GEG
LAS,HNL
LAS,HOU
LAS,ICT
LAS,IND
LAS,JAX
LAS,KOA
LAS,LAX
LAS,LBB
LAS,LIH
LAS,LIT
LAS,MAF
LAS,MCI
LAS,MCO
LAS,MDW
LAS,MKE
LAS,MSY
LAS,OAK
LAS,OGG
LAS,OKC
LAS,OMA
LAS,ONT
LAS,PDX
LAS,PHL
LAS,PHX
LAS,PIT
LAS,RDU
LAS,RNO
LAS,SAN
LAS,SAT
LAS,SDF
LAS,SEA
LAS,SFO
LAS,SJC
LAS,SLC
LAS,SMF
LAS,SNA
LAS,STL
LAS,TPA
LAS,TUL
LAS,TUS
LAX,ABQ
LAX,ATL
LAX,AUS
LAX,BNA
LAX,BWI
LAX,DEN
LAX,ELP
LAX,HNL
LAX,HOU
LAX,LAS
LAX,MCI
LAX,MCO
LAX,MDW
LAX,MKE
LAX,MSY
LAX,OAK
LAX,PHX
LAX,RNO
LAX,SAT
LAX,SFO
LAX,SJC
LAX,SLC
LAX,SMF
LAX,STL
LAX,TUS
LBB,AUS
LBB,DAL
LBB,LAS
LGA,ATL
LGA,BNA
LGA,CAK
LGA,DEN
LGA,HOU
LGA,MDW
LGA,MKE
LGA,STL
LGB,HNL
LIH,HNL
LIH,LAS
LIH,OAK
LIH,OGG
LIT,BWI
LIT,DAL
LIT,HOU
LIT,LAS
LIT,MDW
LIT,PHX
MAF,DAL
MAF,HOU
MAF,LAS
MBJ,ATL
MCI,ABQ
MCI,ATL
MCI,BNA
MCI,BOS
MCI,BWI
MCI,CUN
MCI,DAL
MCI,DCA
MCI,DEN
MCI,FLL
MCI,HOU
MCI,IND
MCI,LAS
MCI,LAX
MCI,MCO
MCI,MDW
MCI,MKE
MCI,MSP
MCI,MSY
MCI,OAK
MCI,PDX
MCI,PHX
MCI,SAN
MCI,STL
MCI,TPA
MCO,ALB
MCO,ATL
MCO,AUA
MCO,AUS
MCO,BDL
MCO,BHM
MCO,BNA
MCO,BOS
MCO,BUF
MCO,BWI
MCO,CAK
MCO,CLT
MCO,CMH
MCO,DAY
MCO,DCA
MCO,DEN
MCO,EYW
MCO,FNT
MCO,GCM
MCO,GRR
MCO,HOU
MCO,IND
MCO,ISP
MCO,JAN
MCO,LAS
MCO,MCI
MCO,MDW
MCO,MEM
MCO,MHT
MCO,MKE
MCO,MSP
MCO,MSY
MCO,NAS
MCO,ORD
MCO,ORF
MCO,PHL
MCO,PHX
MCO,PIT
MCO,PLS
MCO,PUJ
MCO,PVD
MCO,RDU
MCO,RIC
MCO,ROC
MCO,SAT
MCO,SDF
MCO,SJO
MCO,SJU
MCO,STL
MDW,ABQ
MDW,ALB
MDW,ATL
MDW,AUS
MDW,BDL
MDW,BHM
MDW,BKG
MDW,BNA
MDW,BOS
MDW,BUF
MDW,BWI
MDW,CHS
MDW,CLE
MDW,CLT
MDW,CMH
MDW,DEN
MDW,DSM
MDW,DTW
MDW,EWR
MDW,FLL
MDW,GSP
MDW,HOU
MDW,IAD
MDW,ICT
MDW,JAN
MDW,JAX
MDW,LAS
MDW,LAX
MDW,LGA
MDW,LIT
MDW,MCI
MDW,MCO
MDW,MEM
MDW,MHT
MDW,MSP
MDW,MSY
MDW,OAK
MDW,OKC
MDW,OMA
MDW,ONT
MDW,ORF
MDW,PDX
MDW,PHL
MDW,PHX
MDW,PIT
MDW,PVD
MDW,RDU
MDW,RNO
MDW,ROC
MDW,RSW
MDW,SAN
MDW,SAT
MDW,SDF
MDW,SEA
MDW,SFO
MDW,SJC
MDW,SLC
MDW,SMF
MDW,STL
MDW,TPA
MDW,TUL
MDW,TUS
MEM,BWI
MEM,HOU
MEM,MCO
MEM,MDW
MEM,TPA
MHT,BWI
MHT,MCO
MHT,MDW
MHT,TPA
MKE,ATL
MKE,BOS
MKE,BWI
MKE,DCA
MKE,DEN
MKE,FLL
MKE,LAS
MKE,LAX
MKE,LGA
MKE,MCI
MKE,MCO
MKE,MSP
MKE,MSY
MKE,PHX
MKE,RSW
MKE,SEA
MKE,SFO
MKE,STL
MKE,TPA
MSP,ATL
MSP,DEN
MSP,MCI
MSP,MCO
MSP,MDW
MSP,MKE
MSP,PHX
MSP,STL
MSY,ATL
MSY,AUS
MSY,BNA
MSY,BWI
MSY,DAL
MSY,DEN
MSY,EWR
MSY,EYW
MSY,FLL
MSY,HOU
MSY,LAS
MSY,LAX
MSY,MCI
MSY,MCO
MSY,MDW
MSY,MKE
MSY,PHX
MSY,SAN
MSY,STL
MSY,TPA
NAS,ATL
NAS,MCO
OAK,ABQ
OAK,AUS
OAK,BOI
OAK,BUR
OAK,DEN
OAK,GEG
OAK,HNL
OAK,HOU
OAK,LAS
OAK,LAX
OAK,LIH
OAK,MCI
OAK,MDW
OAK,OGG
OAK,ONT
OAK,PDX
OAK,PHX
OAK,SAN
OAK,SEA
OAK,SLC
OAK,SNA
OGG,HNL
OGG,KOA
OGG,LAS
OGG,OAK
OGG,PHX
OKC,ATL
OKC,BWI
OKC,DAL
OKC,DEN
OKC,HOU
OKC,LAS
OKC,MDW
OKC,PHX
OKC,STL
OMA,DEN
OMA,LAS
OMA,MDW
OMA,PHX
OMA,STL
ONT,DEN
ONT,LAS
ONT,MDW
ONT,OAK
ONT,PHX
ONT,SJC
ONT,SMF
ORD,LAS
ORD,MCO
ORF,ATL
ORF,BWI
ORF,MCO
ORF,MDW
PBI,ATL
PBI,BWI
PBI,ISP
PDX,ABQ
PDX,DEN
PDX,LAS
PDX,MCI
PDX,MDW
PDX,OAK
PDX,PHX
PDX,RNO
PDX,SJC
PDX,SLC
PDX,SMF
PHL,ATL
PHL,BNA
PHL,DEN
PHL,FLL
PHL,LAS
PHL,MCO
PHL,MDW
PHL,PHX
PHL,RSW
PHL,STL
PHL,TPA
PHX,ABQ
PHX,ATL
PHX,AUS
PHX,BNA
PHX,BOI
PHX,BUF
PHX,BUR
PHX,BWI
PHX,CMH
PHX,DEN
PHX,DTW
PHX,ELP
PHX,EWR
PHX,FLL
PHX,GEG
PHX,HOU
PHX,IND
PHX,LAS
PHX,LAX
PHX,LIT
PHX,MCI
PHX,MCO
PHX,MDW
PHX,MKE
PHX,MSP
PHX,MSY
PHX,OAK
PHX,OKC
PHX,OMA
PHX,ONT
PHX,PDX
PHX,PHL
PHX,PIT
PHX,PVR
PHX,RDU
PHX,RNO
PHX,SAN
PHX,SAT
PHX,SDF
PHX,SEA
PHX,SFO
PHX,SJC
PHX,SJD
PHX,SLC
PHX,SMF
PHX,SNA
PHX,STL
PHX,TPA
PHX,TUL
PIT,ATL
PIT,BNA
PIT,BWI
PIT,DEN
PIT,DFW
PIT,FLL
PIT,HOU
PIT,LAS
PIT,MCO
PIT,MDW
PIT,PHX
PIT,RSW
PIT,TPA
PLS,MCO
PNS,BNA
PNS,HOU
PUJ,ATL
PUJ,BWI
PVD,BWI
PVD,FLL
PVD,MCO
PVD,MDW
PVD,RSW
PVD,TPA
RDU,ATL
RDU,BNA
RDU,BWI
RDU,DEN
RDU,FLL
RDU,HOU
RDU,LAS
RDU,MCO
RDU,MDW
RDU,PHX
RDU,STL
RDU,TPA
RIC,ATL
RIC,MCO
RNO,DEN
RNO,LAS
RNO,LAX
RNO,MDW
RNO,PDX
RNO,PHX
RNO,SAN
RNO,SEA
ROC,BWI
ROC,MCO
ROC,MDW
ROC,TPA
RSW,ATL
RSW,BDL
RSW,BWI
RSW,CMH
RSW,DCA
RSW,IND
RSW,MDW
RSW,MKE
RSW,PHL
RSW,PIT
RSW,PVD
RSW,STL
SAN,ABQ
SAN,ATL
SAN,AUS
SAN,BNA
SAN,BWI
SAN,DEN
SAN,HNL
SAN,HOU
SAN,LAS
SAN,MCI
SAN,MDW
SAN,MSY
SAN,OAK
SAN,PHX
SAN,RNO
SAN,SAT
SAN,SFO
SAN,SJC
SAN,SMF
SAN,STL
SAN,TUS
SAT,ATL
SAT,BNA
SAT,BWI
SAT,DAL
SAT,DEN
SAT,ELP
SAT,HOU
SAT,HRL
SAT,LAS
SAT,LAX
SAT,MCO
SAT,MDW
SAT,PHX
SAT,SAN
SAT,STL
SAT,TPA
SDF,ATL
SDF,BWI
SDF,DEN
SDF,LAS
SDF,MCO
SDF,MDW
SDF,PHX
SDF,TPA
SEA,ABQ
SEA,BWI
SEA,DEN
SEA,LAS
SEA,MDW
SEA,MKE
SEA,OAK
SEA,PHX
SEA,RNO
SEA,SJC
SEA,SLC
SEA,SMF
SFO,ATL
SFO,BWI
SFO,DEN
SFO,LAS
SFO,LAX
SFO,MDW
SFO,MKE
SFO,PHX
SFO,SAN
SFO,SNA
SJC,AUS
SJC,BUR
SJC,DEN
SJC,HNL
SJC,LAS
SJC,LAX
SJC,MDW
SJC,ONT
SJC,PDX
SJC,PHX
SJC,SAN
SJC,SEA
SJC,SNA
SJD,HOU
SJD,PHX
SJO,HOU
SJO,MCO
SJU,ATL
SJU,BWI
SJU,FLL
SJU,MCO
SJU,TPA
SLC,BWI
SLC,DEN
SLC,LAS
SLC,LAX
SLC,MDW
SLC,OAK
SLC,PDX
SLC,PHX
SLC,SEA
SMF,BUR
SMF,DEN
SMF,HNL
SMF,KOA
SMF,LAS
SMF,LAX
SMF,LGB
SMF,MDW
SMF,ONT
SMF,PDX
SMF,PHX
SMF,SAN
SMF,SEA
SMF,SNA
SNA,DEN
SNA,HOU
SNA,LAS
SNA,OAK
SNA,PHX
SNA,SFO
SNA,SJC
SNA,SMF
STL,ATL
STL,BNA
STL,BOS
STL,BWI
STL,CMH
STL,DAL
STL,DCA
STL,DEN
STL,DTW
STL,ECP
STL,EWR
STL,FLL
STL,GRR
STL,HOU
STL,LAS
STL,LAX
STL,LGA
STL,MCI
STL,MCO
STL,MDW
STL,MKE
STL,MSP
STL,MSY
STL,OKC
STL,OMA
STL,PHL
STL,PHX
STL,RDU
STL,RSW
STL,SAN
STL,SAT
STL,TPA
STL,TUL
TPA,ALB
TPA,ATL
TPA,AUS
TPA,BDL
TPA,BHM
TPA,BNA
TPA,BUF
TPA,BWI
TPA,CAK
TPA,CMH
TPA,DAY
TPA,DEN
TPA,EYW
TPA,FLL
TPA,FNT
TPA,GRR
TPA,HOU
TPA,IND
TPA,ISP
TPA,LAS
TPA,MCI
TPA,MDW
TPA,MEM
TPA,MHT
TPA,MKE
TPA,MSY
TPA,PHL
TPA,PHX
TPA,PIT
TPA,PVD
TPA,RDU
TPA,ROC
TPA,SAT
TPA,SDF
TPA,SJU
TPA,STL
TUL,DAL
TUL,DEN
TUL,HOU
TUL,LAS
TUL,MDW
TUL,PHX
TUL,STL
TUS,DEN
TUS,LAS
TUS,LAX
TUS,MDW
TUS,SAN
